variable,pct_missing
rd_expenditure,0.6102699144173799
tertiary_enrollment,0.4279131007241606
hightech_exports,0.4151854290103138
education_expenditure,0.3877551020408163
new_business_density,0.3612025455343428
new_businesses_registered,0.3612025455343428
broad_money,0.32038621900373054
secure_servers,0.29931972789115646
domestic_credit,0.2543339916611806
gross_capital_formation,0.21132323897300856
renewable_energy,0.1966205837173579
trade_percent_gdp,0.17862628922536758
imports_percent_gdp,0.17862628922536758
exports_percent_gdp,0.17862628922536758
broadband_subscriptions,0.16545973228000876
regulatory_quality,0.15997366688610928
government_effectiveness,0.15997366688610928
control_of_corruption,0.15953478165459734
inflation,0.15821812596006143
voice_accountability,0.15426815887645381
rule_of_law,0.15426815887645381
political_stability,0.15426815887645381
internet_users,0.14197937239411892
labor_force_participation,0.141321044546851
unemployment_rate,0.141321044546851
mobile_subscriptions,0.12244897959183673
fdi_net_inflows,0.11696291419793724
co2_per_capita,0.10906298003072197
population_density,0.10730743910467412
gdp_growth,0.04608294930875576
gdp_per_capita,0.03620803159973667
gdp_usd,0.03620803159973667
population_growth,0.00021944261575597982
population,0.0
urban_population_percent,0.0
