country_code,country_name,year,indicator_code,value
AFE,Africa Eastern and Southern,2010,GB.XPD.RSDV.GD.ZS,0.586779084367876
AFE,Africa Eastern and Southern,2007,GB.XPD.RSDV.GD.ZS,0.659864661576848
AFE,Africa Eastern and Southern,2005,GB.XPD.RSDV.GD.ZS,0.626592924758238
AFW,Africa Western and Central,2019,GB.XPD.RSDV.GD.ZS,0.277536756220093
AFW,Africa Western and Central,2007,GB.XPD.RSDV.GD.ZS,0.15068925314209
ARB,Arab World,2021,GB.XPD.RSDV.GD.ZS,0.677204938802721
ARB,Arab World,2020,GB.XPD.RSDV.GD.ZS,0.692556590528382
ARB,Arab World,2011,GB.XPD.RSDV.GD.ZS,0.551613162717483
CEB,Central Europe and the Baltics,2023,GB.XPD.RSDV.GD.ZS,1.34182612383603
CEB,Central Europe and the Baltics,2022,GB.XPD.RSDV.GD.ZS,1.29826358701501
CEB,Central Europe and the Baltics,2021,GB.XPD.RSDV.GD.ZS,1.31378375201668
CEB,Central Europe and the Baltics,2020,GB.XPD.RSDV.GD.ZS,1.29475897248932
CEB,Central Europe and the Baltics,2019,GB.XPD.RSDV.GD.ZS,1.23739742864273
CEB,Central Europe and the Baltics,2018,GB.XPD.RSDV.GD.ZS,1.18518867780574
CEB,Central Europe and the Baltics,2017,GB.XPD.RSDV.GD.ZS,1.08031757970669
CEB,Central Europe and the Baltics,2016,GB.XPD.RSDV.GD.ZS,1.02183730554662
CEB,Central Europe and the Baltics,2015,GB.XPD.RSDV.GD.ZS,1.13751441268097
CEB,Central Europe and the Baltics,2014,GB.XPD.RSDV.GD.ZS,1.08777424091793
CEB,Central Europe and the Baltics,2013,GB.XPD.RSDV.GD.ZS,1.06327266005125
CEB,Central Europe and the Baltics,2012,GB.XPD.RSDV.GD.ZS,1.05003947334427
CEB,Central Europe and the Baltics,2011,GB.XPD.RSDV.GD.ZS,0.951042144001125
CEB,Central Europe and the Baltics,2010,GB.XPD.RSDV.GD.ZS,0.870040912431831
CEB,Central Europe and the Baltics,2009,GB.XPD.RSDV.GD.ZS,0.825519576662909
CEB,Central Europe and the Baltics,2008,GB.XPD.RSDV.GD.ZS,0.782204517299257
CEB,Central Europe and the Baltics,2007,GB.XPD.RSDV.GD.ZS,0.758683049851377
CEB,Central Europe and the Baltics,2006,GB.XPD.RSDV.GD.ZS,0.755666475373099
CEB,Central Europe and the Baltics,2005,GB.XPD.RSDV.GD.ZS,0.739197862631459
EAR,Early-demographic dividend,2020,GB.XPD.RSDV.GD.ZS,0.801477422530873
EAR,Early-demographic dividend,2019,GB.XPD.RSDV.GD.ZS,0.740377199040134
EAR,Early-demographic dividend,2018,GB.XPD.RSDV.GD.ZS,0.737266646290267
EAR,Early-demographic dividend,2017,GB.XPD.RSDV.GD.ZS,0.717102657020471
EAR,Early-demographic dividend,2016,GB.XPD.RSDV.GD.ZS,0.752969757195789
EAR,Early-demographic dividend,2015,GB.XPD.RSDV.GD.ZS,0.719887001483297
EAR,Early-demographic dividend,2013,GB.XPD.RSDV.GD.ZS,0.619151819759789
EAR,Early-demographic dividend,2012,GB.XPD.RSDV.GD.ZS,0.697876421480953
EAR,Early-demographic dividend,2011,GB.XPD.RSDV.GD.ZS,0.708976587514646
EAR,Early-demographic dividend,2010,GB.XPD.RSDV.GD.ZS,0.719085485176379
EAR,Early-demographic dividend,2009,GB.XPD.RSDV.GD.ZS,0.613493910834371
EAR,Early-demographic dividend,2008,GB.XPD.RSDV.GD.ZS,0.679625468396612
EAR,Early-demographic dividend,2007,GB.XPD.RSDV.GD.ZS,0.642853753531894
EAR,Early-demographic dividend,2006,GB.XPD.RSDV.GD.ZS,0.628433125149844
EAR,Early-demographic dividend,2005,GB.XPD.RSDV.GD.ZS,0.601700859027945
EAS,East Asia & Pacific,2023,GB.XPD.RSDV.GD.ZS,2.77833006240947
EAS,East Asia & Pacific,2022,GB.XPD.RSDV.GD.ZS,2.71717559947169
EAS,East Asia & Pacific,2021,GB.XPD.RSDV.GD.ZS,2.57649455499986
EAS,East Asia & Pacific,2020,GB.XPD.RSDV.GD.ZS,2.50733914272744
EAS,East Asia & Pacific,2019,GB.XPD.RSDV.GD.ZS,2.33385397245774
EAS,East Asia & Pacific,2018,GB.XPD.RSDV.GD.ZS,2.32503653024289
EAS,East Asia & Pacific,2017,GB.XPD.RSDV.GD.ZS,2.28803085567583
EAS,East Asia & Pacific,2016,GB.XPD.RSDV.GD.ZS,2.30888797558082
EAS,East Asia & Pacific,2015,GB.XPD.RSDV.GD.ZS,2.29342659835787
EAS,East Asia & Pacific,2014,GB.XPD.RSDV.GD.ZS,2.44333254109597
EAS,East Asia & Pacific,2013,GB.XPD.RSDV.GD.ZS,2.25354328549626
EAS,East Asia & Pacific,2012,GB.XPD.RSDV.GD.ZS,2.45755028395847
EAS,East Asia & Pacific,2011,GB.XPD.RSDV.GD.ZS,2.30902266684276
EAS,East Asia & Pacific,2010,GB.XPD.RSDV.GD.ZS,2.37627226598219
EAS,East Asia & Pacific,2009,GB.XPD.RSDV.GD.ZS,2.23046444171605
EAS,East Asia & Pacific,2008,GB.XPD.RSDV.GD.ZS,2.33452097387501
EAS,East Asia & Pacific,2007,GB.XPD.RSDV.GD.ZS,2.33005073451218
EAS,East Asia & Pacific,2006,GB.XPD.RSDV.GD.ZS,2.381653806604
EAS,East Asia & Pacific,2005,GB.XPD.RSDV.GD.ZS,2.38211083258047
EAP,East Asia & Pacific (excluding high income),2023,GB.XPD.RSDV.GD.ZS,2.47582029067574
EAP,East Asia & Pacific (excluding high income),2022,GB.XPD.RSDV.GD.ZS,2.41879972397241
EAP,East Asia & Pacific (excluding high income),2021,GB.XPD.RSDV.GD.ZS,2.30357679372756
EAP,East Asia & Pacific (excluding high income),2020,GB.XPD.RSDV.GD.ZS,2.11819098023791
EAP,East Asia & Pacific (excluding high income),2019,GB.XPD.RSDV.GD.ZS,1.95159268838599
EAP,East Asia & Pacific (excluding high income),2018,GB.XPD.RSDV.GD.ZS,1.88271981025066
EAP,East Asia & Pacific (excluding high income),2017,GB.XPD.RSDV.GD.ZS,1.87006122731623
EAP,East Asia & Pacific (excluding high income),2016,GB.XPD.RSDV.GD.ZS,1.87088501634354
EAP,East Asia & Pacific (excluding high income),2015,GB.XPD.RSDV.GD.ZS,1.87217417493176
EAP,East Asia & Pacific (excluding high income),2014,GB.XPD.RSDV.GD.ZS,1.90789568520804
EAP,East Asia & Pacific (excluding high income),2013,GB.XPD.RSDV.GD.ZS,1.6819873872822
EAP,East Asia & Pacific (excluding high income),2012,GB.XPD.RSDV.GD.ZS,1.85116850389039
EAP,East Asia & Pacific (excluding high income),2011,GB.XPD.RSDV.GD.ZS,1.5918170884932
EAP,East Asia & Pacific (excluding high income),2010,GB.XPD.RSDV.GD.ZS,1.6573354928432
EAP,East Asia & Pacific (excluding high income),2009,GB.XPD.RSDV.GD.ZS,1.38091860941462
EAP,East Asia & Pacific (excluding high income),2008,GB.XPD.RSDV.GD.ZS,1.32549350236945
EAP,East Asia & Pacific (excluding high income),2007,GB.XPD.RSDV.GD.ZS,1.22844908069114
EAP,East Asia & Pacific (excluding high income),2006,GB.XPD.RSDV.GD.ZS,1.2323368827159
EAP,East Asia & Pacific (excluding high income),2005,GB.XPD.RSDV.GD.ZS,1.16299926803795
TEA,East Asia & Pacific (IDA & IBRD countries),2023,GB.XPD.RSDV.GD.ZS,2.47582029067574
TEA,East Asia & Pacific (IDA & IBRD countries),2022,GB.XPD.RSDV.GD.ZS,2.41879972397241
TEA,East Asia & Pacific (IDA & IBRD countries),2021,GB.XPD.RSDV.GD.ZS,2.30357679372756
TEA,East Asia & Pacific (IDA & IBRD countries),2020,GB.XPD.RSDV.GD.ZS,2.11819098023791
TEA,East Asia & Pacific (IDA & IBRD countries),2019,GB.XPD.RSDV.GD.ZS,1.95159268838599
TEA,East Asia & Pacific (IDA & IBRD countries),2018,GB.XPD.RSDV.GD.ZS,1.88271981025066
TEA,East Asia & Pacific (IDA & IBRD countries),2017,GB.XPD.RSDV.GD.ZS,1.87006122731623
TEA,East Asia & Pacific (IDA & IBRD countries),2016,GB.XPD.RSDV.GD.ZS,1.87088501634354
TEA,East Asia & Pacific (IDA & IBRD countries),2015,GB.XPD.RSDV.GD.ZS,1.87217417493176
TEA,East Asia & Pacific (IDA & IBRD countries),2014,GB.XPD.RSDV.GD.ZS,1.90789568520804
TEA,East Asia & Pacific (IDA & IBRD countries),2013,GB.XPD.RSDV.GD.ZS,1.6819873872822
TEA,East Asia & Pacific (IDA & IBRD countries),2012,GB.XPD.RSDV.GD.ZS,1.85116850389039
TEA,East Asia & Pacific (IDA & IBRD countries),2011,GB.XPD.RSDV.GD.ZS,1.5918170884932
TEA,East Asia & Pacific (IDA & IBRD countries),2010,GB.XPD.RSDV.GD.ZS,1.6573354928432
TEA,East Asia & Pacific (IDA & IBRD countries),2009,GB.XPD.RSDV.GD.ZS,1.38091860941462
TEA,East Asia & Pacific (IDA & IBRD countries),2008,GB.XPD.RSDV.GD.ZS,1.32549350236945
TEA,East Asia & Pacific (IDA & IBRD countries),2007,GB.XPD.RSDV.GD.ZS,1.22844908069114
TEA,East Asia & Pacific (IDA & IBRD countries),2006,GB.XPD.RSDV.GD.ZS,1.2323368827159
TEA,East Asia & Pacific (IDA & IBRD countries),2005,GB.XPD.RSDV.GD.ZS,1.16299926803795
EMU,Euro area,2023,GB.XPD.RSDV.GD.ZS,2.2895144565081
EMU,Euro area,2022,GB.XPD.RSDV.GD.ZS,2.25107966461214
EMU,Euro area,2021,GB.XPD.RSDV.GD.ZS,2.25891301253763
EMU,Euro area,2020,GB.XPD.RSDV.GD.ZS,2.30052592343969
EMU,Euro area,2019,GB.XPD.RSDV.GD.ZS,2.2280734958391
EMU,Euro area,2018,GB.XPD.RSDV.GD.ZS,2.18550599898237
EMU,Euro area,2017,GB.XPD.RSDV.GD.ZS,2.15252636077938
EMU,Euro area,2016,GB.XPD.RSDV.GD.ZS,2.1135197397057
EMU,Euro area,2015,GB.XPD.RSDV.GD.ZS,2.10986340300616
EMU,Euro area,2014,GB.XPD.RSDV.GD.ZS,2.11978262819395
EMU,Euro area,2013,GB.XPD.RSDV.GD.ZS,2.08893968692216
EMU,Euro area,2012,GB.XPD.RSDV.GD.ZS,2.07087787429662
EMU,Euro area,2011,GB.XPD.RSDV.GD.ZS,2.01377486367364
EMU,Euro area,2010,GB.XPD.RSDV.GD.ZS,1.97132865623614
EMU,Euro area,2009,GB.XPD.RSDV.GD.ZS,1.9647320858225
EMU,Euro area,2008,GB.XPD.RSDV.GD.ZS,1.87295473397562
EMU,Euro area,2007,GB.XPD.RSDV.GD.ZS,1.7914003144944
EMU,Euro area,2006,GB.XPD.RSDV.GD.ZS,1.78689275193435
EMU,Euro area,2005,GB.XPD.RSDV.GD.ZS,1.76781970292522
ECS,Europe & Central Asia,2023,GB.XPD.RSDV.GD.ZS,2.14079503057383
ECS,Europe & Central Asia,2022,GB.XPD.RSDV.GD.ZS,2.05658823763358
ECS,Europe & Central Asia,2021,GB.XPD.RSDV.GD.ZS,2.16876429997001
ECS,Europe & Central Asia,2020,GB.XPD.RSDV.GD.ZS,2.18817615139881
ECS,Europe & Central Asia,2019,GB.XPD.RSDV.GD.ZS,2.12147731454218
ECS,Europe & Central Asia,2018,GB.XPD.RSDV.GD.ZS,2.06483077448666
ECS,Europe & Central Asia,2017,GB.XPD.RSDV.GD.ZS,2.02586405984117
ECS,Europe & Central Asia,2016,GB.XPD.RSDV.GD.ZS,1.972025181027
ECS,Europe & Central Asia,2015,GB.XPD.RSDV.GD.ZS,1.98733152641102
ECS,Europe & Central Asia,2014,GB.XPD.RSDV.GD.ZS,1.91701217907982
ECS,Europe & Central Asia,2013,GB.XPD.RSDV.GD.ZS,1.79695018835986
ECS,Europe & Central Asia,2012,GB.XPD.RSDV.GD.ZS,1.81708507923017
ECS,Europe & Central Asia,2011,GB.XPD.RSDV.GD.ZS,1.77099378986903
ECS,Europe & Central Asia,2010,GB.XPD.RSDV.GD.ZS,1.76596555293738
ECS,Europe & Central Asia,2009,GB.XPD.RSDV.GD.ZS,1.80358454021379
ECS,Europe & Central Asia,2008,GB.XPD.RSDV.GD.ZS,1.71573282570199
ECS,Europe & Central Asia,2007,GB.XPD.RSDV.GD.ZS,1.6539722189084
ECS,Europe & Central Asia,2006,GB.XPD.RSDV.GD.ZS,1.65296648149153
ECS,Europe & Central Asia,2005,GB.XPD.RSDV.GD.ZS,1.64565066283489
ECA,Europe & Central Asia (excluding high income),2023,GB.XPD.RSDV.GD.ZS,0.904770346010955
ECA,Europe & Central Asia (excluding high income),2022,GB.XPD.RSDV.GD.ZS,0.813950450351486
ECA,Europe & Central Asia (excluding high income),2021,GB.XPD.RSDV.GD.ZS,0.864415852216202
ECA,Europe & Central Asia (excluding high income),2020,GB.XPD.RSDV.GD.ZS,0.860491599868224
ECA,Europe & Central Asia (excluding high income),2019,GB.XPD.RSDV.GD.ZS,0.837734371196345
ECA,Europe & Central Asia (excluding high income),2018,GB.XPD.RSDV.GD.ZS,0.837659801285922
ECA,Europe & Central Asia (excluding high income),2017,GB.XPD.RSDV.GD.ZS,0.811464458952922
ECA,Europe & Central Asia (excluding high income),2016,GB.XPD.RSDV.GD.ZS,0.797000746678989
ECA,Europe & Central Asia (excluding high income),2015,GB.XPD.RSDV.GD.ZS,0.689650529447458
ECA,Europe & Central Asia (excluding high income),2014,GB.XPD.RSDV.GD.ZS,0.628876635177222
ECA,Europe & Central Asia (excluding high income),2013,GB.XPD.RSDV.GD.ZS,0.621323272451192
ECA,Europe & Central Asia (excluding high income),2012,GB.XPD.RSDV.GD.ZS,0.639997990659133
ECA,Europe & Central Asia (excluding high income),2011,GB.XPD.RSDV.GD.ZS,0.620974440773465
ECA,Europe & Central Asia (excluding high income),2010,GB.XPD.RSDV.GD.ZS,0.647663932088636
ECA,Europe & Central Asia (excluding high income),2009,GB.XPD.RSDV.GD.ZS,0.669033844035275
ECA,Europe & Central Asia (excluding high income),2008,GB.XPD.RSDV.GD.ZS,0.602528837018532
ECA,Europe & Central Asia (excluding high income),2007,GB.XPD.RSDV.GD.ZS,0.616326286779816
ECA,Europe & Central Asia (excluding high income),2006,GB.XPD.RSDV.GD.ZS,0.541003073495873
ECA,Europe & Central Asia (excluding high income),2005,GB.XPD.RSDV.GD.ZS,0.561153829973122
TEC,Europe & Central Asia (IDA & IBRD countries),2023,GB.XPD.RSDV.GD.ZS,0.993324007184082
TEC,Europe & Central Asia (IDA & IBRD countries),2022,GB.XPD.RSDV.GD.ZS,0.928838565644767
TEC,Europe & Central Asia (IDA & IBRD countries),2021,GB.XPD.RSDV.GD.ZS,0.966865197619736
TEC,Europe & Central Asia (IDA & IBRD countries),2020,GB.XPD.RSDV.GD.ZS,1.00845409233774
TEC,Europe & Central Asia (IDA & IBRD countries),2019,GB.XPD.RSDV.GD.ZS,0.968313707742464
TEC,Europe & Central Asia (IDA & IBRD countries),2018,GB.XPD.RSDV.GD.ZS,0.93200573035798
TEC,Europe & Central Asia (IDA & IBRD countries),2017,GB.XPD.RSDV.GD.ZS,0.944309610200855
TEC,Europe & Central Asia (IDA & IBRD countries),2016,GB.XPD.RSDV.GD.ZS,0.915249173262369
